author,year_published,journal,volume,study_id,commonname_species,genus,species,species_name,diet_decrease_percent,dietdecrease_ztransform,age_at_treatment,manipulation_type,trait,bodysize_included,trait_measured,trait_unit,trait_category,mean_low,sd_low,se_low,n_low,mean_high,sd_high ,se_high,n_high,f,t,es_method,effect_size_id
Devigili ,2013,Behavioral Ecology ,24,1,Guppy,Poecilia,reticulata,Poecilia_reticulata,66.66,0.307088648,,QuantM,PC,y,Sperm viability,proportion alive,6,0.54,,0.02,38,0.62,,0.02,41,,,Descriptive,1
Devigili ,2013,Behavioral Ecology ,24,1,Guppy,Poecilia,reticulata,Poecilia_reticulata,66.66,0.307088648,,QuantM,PC,y,Sperm velocity VAP,um/s,4,88,,2.66,38,92.16,,2.77,40,,,Descriptive,2
Devigili ,2013,Behavioral Ecology ,24,1,Guppy,Poecilia,reticulata,Poecilia_reticulata,66.66,0.307088648,,QuantM,PC,y,Sperm number ,x10^6,5,3.29,,0.49,44,3.88,,0.44,45,,,Descriptive,3
Devigili ,2013,Behavioral Ecology ,24,1,Guppy,Poecilia,reticulata,Poecilia_reticulata,66.66,0.307088648,,QuantM,BS,y,Body size,mm,1,16.11,,0.14,44,16.25,,0.12,45,,,Descriptive,4
Devigili ,2013,Behavioral Ecology ,24,1,Guppy,Poecilia,reticulata,Poecilia_reticulata,66.66,0.307088648,,QuantM,PC,y,Sperm length,um,2,46.16,,0.16,36,45.99,,0.15,41,,,Descriptive,5
Evans,2015,Journal of Evolutionary Biology,28,2,Guppy,Poecilia,reticulata,Poecilia_reticulata,75,0.569226227,2,QuantM,BS,y,Body length ,mm,1,12.5325,0.6023,,66,14.3803,0.6399,,70,,,Descriptive,6
Evans,2015,Journal of Evolutionary Biology,28,2,Guppy,Poecilia,reticulata,Poecilia_reticulata,75,0.569226227,2,QuantM,PC,y,Sperm velocity,VAP,4,63.2804,11.9425,,66,82.155,12.8939,,70,,,Descriptive,7
Evans,2015,Journal of Evolutionary Biology,28,2,Guppy,Poecilia,reticulata,Poecilia_reticulata,75,0.569226227,2,QuantM,PC,y,Sperm number ,x10^6,5,2.0572,1.1728,,66,3.7986,2.391,,70,,,Descriptive,8
Evans,2015,Journal of Evolutionary Biology,28,2,Guppy,Poecilia,reticulata,Poecilia_reticulata,75,0.569226227,2,QuantM,PC,y,Sperm viability,%,6,0.6203,0.16,,66,0.75,0.1256,,70,,,Descriptive,9
Evans,2015,Journal of Evolutionary Biology,28,2,Guppy,Poecilia,reticulata,Poecilia_reticulata,75,0.569226227,2,QuantM,PC,y,Total sperm length,um,2,54.631,1.0567,,66,54.3104,1.0608,,70,,,Descriptive,10
Evans,2017,Biology Letters,13,3,Guppy,Poecilia,reticulata,Poecilia_reticulata,52.63,-0.133893393,2,QuantM,PC,n,Sperm velocity VCL,um/s,4,,,,20,,,,20,,2.51,Inferential,11
Evans,2017,Biology Letters,13,3,Guppy,Poecilia,reticulata,Poecilia_reticulata,52.63,-0.133893393,2,QuantM,PC,n,Sperm number,x10^3,5,,,,20,,,,20,,2.11,Inferential,12
